"run_id","generated_at","variant","label","route","kind","port","requests_per_sec","latency_avg","wrk_args","server_options","host","cpu","logical_cpus","memory","os","r_version","package_versions","raw_file"
"20260517-204601","2026-05-17T20:54:08+02:00","drogonR-native","drogonR native","/ping","json","8080","179525.05","310.00us","-t4 -c50 -d30s","DROGONR_THREADS=4; DROGONR_WORKERS=1","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19; nanonext=1.8.2; httpuv=1.6.17","/root/benchmark-r-http-frameworks/results/drogonR-native-json-20260517-204601.txt"
"20260517-204601","2026-05-17T20:54:08+02:00","drogonR-native","drogonR native","/ping-text","text","8080","314036.05","179.27us","-t4 -c50 -d30s","DROGONR_THREADS=4; DROGONR_WORKERS=1","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19; nanonext=1.8.2; httpuv=1.6.17","/root/benchmark-r-http-frameworks/results/drogonR-native-text-20260517-204601.txt"
"20260517-204601","2026-05-17T20:54:08+02:00","drogonR-plumber-shim","drogonR plumber-shim","/ping","json","8083","121147.74","467.55us","-t4 -c50 -d30s","DROGONR_THREADS=4; DROGONR_WORKERS=1","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19; nanonext=1.8.2; httpuv=1.6.17","/root/benchmark-r-http-frameworks/results/drogonR-plumber-shim-json-20260517-204601.txt"
"20260517-204601","2026-05-17T20:54:08+02:00","drogonR-plumber-shim","drogonR plumber-shim","/ping-text","text","8083","124283.90","453.15us","-t4 -c50 -d30s","DROGONR_THREADS=4; DROGONR_WORKERS=1","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19; nanonext=1.8.2; httpuv=1.6.17","/root/benchmark-r-http-frameworks/results/drogonR-plumber-shim-text-20260517-204601.txt"
"20260517-204601","2026-05-17T20:54:08+02:00","plumber","plumber","/ping","json","8081","1122.81","42.71ms","-t4 -c50 -d30s","single R process; no threading option in this benchmark","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19; nanonext=1.8.2; httpuv=1.6.17","/root/benchmark-r-http-frameworks/results/plumber-json-20260517-204601.txt"
"20260517-204601","2026-05-17T20:54:08+02:00","plumber","plumber","/ping-text","text","8081","1127.59","42.53ms","-t4 -c50 -d30s","single R process; no threading option in this benchmark","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19; nanonext=1.8.2; httpuv=1.6.17","/root/benchmark-r-http-frameworks/results/plumber-text-20260517-204601.txt"
"20260517-204601","2026-05-17T20:54:08+02:00","plumber2","plumber2","/ping","json","8084","1077.77","44.57ms","-t4 -c50 -d30s","sync handlers; no mirai daemons","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19; nanonext=1.8.2; httpuv=1.6.17","/root/benchmark-r-http-frameworks/results/plumber2-json-20260517-204601.txt"
"20260517-204601","2026-05-17T20:54:08+02:00","plumber2","plumber2","/ping-text","text","8084","1095.61","43.79ms","-t4 -c50 -d30s","sync handlers; no mirai daemons","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19; nanonext=1.8.2; httpuv=1.6.17","/root/benchmark-r-http-frameworks/results/plumber2-text-20260517-204601.txt"
"20260517-204601","2026-05-17T20:54:08+02:00","plumber2-mirai","plumber2 mirai async","/ping","json","8086","269.94","177.59ms","-t4 -c50 -d30s","async=TRUE; PLUMBER2_MIRAI_DAEMONS=5","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19; nanonext=1.8.2; httpuv=1.6.17","/root/benchmark-r-http-frameworks/results/plumber2-mirai-json-20260517-204601.txt"
"20260517-204601","2026-05-17T20:54:08+02:00","plumber2-mirai","plumber2 mirai async","/ping-text","text","8086","269.18","178.17ms","-t4 -c50 -d30s","async=TRUE; PLUMBER2_MIRAI_DAEMONS=5","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19; nanonext=1.8.2; httpuv=1.6.17","/root/benchmark-r-http-frameworks/results/plumber2-mirai-text-20260517-204601.txt"
"20260517-204601","2026-05-17T20:54:08+02:00","RestRserve","RestRserve","/ping","json","8085","12328.98","5.06ms","-t4 -c50 -d30s","Rserve HTTP backend on Linux; forked request processing; RESTRSERVE_JIT_LEVEL=0; RESTRSERVE_PRECOMPILE=false; RESTRSERVE_RSERVE_PORT=auto","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19; nanonext=1.8.2; httpuv=1.6.17","/root/benchmark-r-http-frameworks/results/RestRserve-json-20260517-204601.txt"
"20260517-204601","2026-05-17T20:54:08+02:00","RestRserve","RestRserve","/ping-text","text","8085","13248.86","4.04ms","-t4 -c50 -d30s","Rserve HTTP backend on Linux; forked request processing; RESTRSERVE_JIT_LEVEL=0; RESTRSERVE_PRECOMPILE=false; RESTRSERVE_RSERVE_PORT=auto","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19; nanonext=1.8.2; httpuv=1.6.17","/root/benchmark-r-http-frameworks/results/RestRserve-text-20260517-204601.txt"
"20260517-204601","2026-05-17T20:54:08+02:00","nanonext","nanonext","/ping","json","8087","20221.63","2.38ms","-t4 -c50 -d30s","nanonext http_server; no R-level threading option exposed here","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19; nanonext=1.8.2; httpuv=1.6.17","/root/benchmark-r-http-frameworks/results/nanonext-json-20260517-204601.txt"
"20260517-204601","2026-05-17T20:54:08+02:00","nanonext","nanonext","/ping-text","text","8087","20228.47","2.37ms","-t4 -c50 -d30s","nanonext http_server; no R-level threading option exposed here","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19; nanonext=1.8.2; httpuv=1.6.17","/root/benchmark-r-http-frameworks/results/nanonext-text-20260517-204601.txt"
"20260517-204601","2026-05-17T20:54:08+02:00","httpuv","httpuv","/ping","json","8088","1151.77","41.62ms","-t4 -c50 -d30s","raw httpuv startServer; I/O thread plus R callback thread","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19; nanonext=1.8.2; httpuv=1.6.17","/root/benchmark-r-http-frameworks/results/httpuv-json-20260517-204601.txt"
"20260517-204601","2026-05-17T20:54:08+02:00","httpuv","httpuv","/ping-text","text","8088","1154.82","41.52ms","-t4 -c50 -d30s","raw httpuv startServer; I/O thread plus R callback thread","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19; nanonext=1.8.2; httpuv=1.6.17","/root/benchmark-r-http-frameworks/results/httpuv-text-20260517-204601.txt"
